2020-06-18,110317,6876529,FUEL GEARSHAFT,CAI11005,DD,"NCR 8729, GEAR TEETH SPALLING",WPG MRO
2020-06-18,NA,ENGINE SCRAPPED PARTS,SCRAP ENGINE PARTS,NA,DD,"QUARANTINE, SCRAP ENGINE PARTS,CAE-835864, CAG-22534, SI 29",WPG MRO
2020-06-19,89450,6898731,PT SUPPORT,DW22280,MM,,WPG MRO
2020-06-19,109945,6850825,OIL PUMP DR SPUR GEAR,NSN,MM,,WPG MRO
2020-06-19,110233,23088840,PT SUPPORT,MK29789,MM,USED FOR TRAINING (06/23/2020),WPG MRO
2020-06-19,110238,206-011-724-109,PITCH CONTROL TUBR ASSY,90-4130,MM,,WPG MRO
2020-06-19,110293,23051122,REAR SUPPORT,ER12608,DD,"NCR 8733, SEALS MACHINED OVERSIZE / USED FOR TRAINING (06/23/2020) / RETURNED TO SCRAP (06/26/2020)",WPG MRO
2020-06-19,110301,6899402,PTO GEARSHAFT,CG67510,DD,"NCR 8729, SPLINES AREA WEAR AND CORROSION",WPG MRO
2020-06-19,110318,6899402,PTO GEARSHAFT,CG107381,DD,"NCR, 8730, SPLINES AREA WORN",WPG MRO
2020-06-19,910319,6889701,TM HELICAL GEAR,NN59764,DD,"NCR 8728, RETAINING GROOVE WORN",WPG MRO
2020-06-22,na,6892071,OIL PUMP BODY,17435,DD,"QUARANTINE, FLAKING",WPG MRO
2020-06-26,NA,MISC SCRAP PARTS,MISC SCRAP PARTS,NA,DD,"QUARANTINE,CAE-295104, CAC-15113, SI 30",WPG MRO
2020-06-29,108290,6889358,Main Drive Gear,512030,ML,Multiple features repaired outside of manual specifications,WPG MRO
2020-06-29,109770,406-040-056-111,Gearshaft Case,A-2062,ML,,WPG MRO
2020-06-29,110251,2543395,Throttle shaft,FS49,ML,"Shaft is bent, no approved repair for bend",WPG MRO
2020-06-29,NA,MISC SCRAP PARTS,MISC SCRAP PARTS,NA,DD,"QUARANTINE, SCRAP ENGINE PARTS, CAE-832741, CAG-35882 SI 28",WPG MRO
2020-06-29,,MISC SCRAP PARTS,MISC SCRAP PARTS,NA,DD,"QUARANTINE, SCRAP ENGINE PARTS,CAE-835864, CAG-22534, SI 29",WPG MRO
2020-06-30,110358,6871259,COMPRESSOR TIE BOLT,KU61410,DD,CORROSION PITTING,WPG MRO
2020-06-30,110361,23031922,SPUR ADAPTER GEARSHAFT,CG126724,DD,OD SPLINES EXHIBIT SPALLING AT POST,WPG MRO
2020-07-01,110388,23031922,SPUR GEARSHAFT,CG126612,DD,SLINES EXIBIT WEAR AND EXCEED SERVISABLE LIMITS,WPG MRO
2020-07-02,110390,6871259,TIE BOLT,NSN,DD,CORROSION AND WEAR EVIDENT,WPG MRO
2020-07-02,110437,23052358,RACE,NSN,DD,RADIAL SCORING EVIDENT ON OUTSIDE DIAMETER,WPG MRO
2020-07-16,110373,206-040-439-001,OUTPUT SHAFT,A-502,ML,,WPG MRO
2020-07-16,na,23058147,IMPELLER,E32560,DD,"TIMED OUT HOURS FROM LOT SI28,CAE-832741, CAC-38839",WPG MRO
2020-07-24,110488,68898731,PT SUPPORT,C20,MM,,WPG MRO
2020-07-27,110199,6889700,HELICAL GEAR,LL6317,DD,ETCHING AND CORROSION ON TEETH,WPG MRO
2020-08-07,110727,206-040-236-017,FREEWHEELING HOUSING,B12-9297,DD,INNER SEAL DIA HAS CORROSION AND OVERSIZED,WPG MRO
2020-08-11,NA,"NA, ENGINE SCRAP",DUCTS/TUBES MISC SCRAP PARTS,NA,DD,SCRAP ENGINE PARTS FROM CAE-295104,WPG MRO
2020-08-11,NA,"NA, ENGINE SCRAP",DUCTS/TUBES MISC SCRAP PARTS,NA,DD,SCRAP ENGINE PARTS FROM CAE-295138,WPG MRO
2020-08-11,NA,"NA, ENGINE SCRAP",DUCTS/TUBES MISC SCRAP PARTS,NA,DD,SCRAP ENGINE PARTS FROM CAE-834995,WPG MRO
2020-08-11,NA,"NA, ENGINE SCRAP",DUCTS/TUBES MISC SCRAP PARTS,NA,DD,SCRAP ENGINE PARTS FROM CAE-833766,WPG MRO
2020-08-11,NA,"NA, ENGINE SCRAP",DUCTS/TUBES MISC SCRAP PARTS,NA,DD,SCRAP ENGINE PARTS FROM CAE-832742,WPG MRO
2020-08-11,NA,"NA, ENGINE SCRAP",DUCTS/TUBES MISC SCRAP PARTS,NA,DD,SCRAP ENGINE PARTS FROM CAE-835864,WPG MRO
2020-08-11,NA,"NA, ENGINE SCRAP",DUCTS/TUBES MISC SCRAP PARTS,     NA,DD,SCRAP ENGINE PARTS FROM CAE-832741,WPG MRO
2020-08-11,NA,"NA, ENGINE SCRAP",DUCTS/TUBES MISC SCRAP PARTS,     NA,DD,SCRAP ENGINE PARTS FROM CAE-835866,WPG MRO
2020-08-11,NA,"NA, ENGINE SCRAP",DUCTS/TUBES MISC SCRAP PARTS,     NA,DD,SCRAP ENGINE PARTS FROM CAE-833700,WPG MRO
2020-08-11,NA,"NA, ENGINE SCRAP",DUCTS/TUBES MISC SCRAP PARTS,     NA,DD,SCRAP ENGINE PARTS FROM CAE-835875,WPG MRO
2020-08-11,NA,"NA, ENGINE SCRAP",DUCTS/TUBES MISC SCRAP PARTS,     NA,DD,SCRAP ENGINE PARTS FROM CAE-833767,WPG MRO
2020-08-11,NA,"NA, ENGINE SCRAP",DUCTS/TUBES MISC SCRAP PARTS,     NA,DD,SCRAP ENGINE PARTS FROM CAE-831043,WPG MRO
2020-08-11,NA,"NA, ENGINE SCRAP",DUCTS/TUBES MISC SCRAP PARTS,     NA,DD,SCRAP ENGINE PARTS FROM CAE-835756,WPG MRO
2020-08-11,NA,"NA, ENGINE SCRAP",DUCTS/TUBES MISC SCRAP PARTS,     NA,DD,SCRAP ENGINE PARTS FROM CAE-832797,WPG MRO
2020-08-11,NA,"NA, ENGINE SCRRAP",DUCTS/TUBES MISC SCRAP PARTS,     NA,DD,SCRAP ENGINE PARTS FROM CAE-834898,WPG MRO
2020-08-19,110848,23001819,OIL NOZZLE,CAI11050,DD,"NOZZLE HOLE REAMED OVERSIZED, UNSERVICABLE",WPG MRO
2020-08-19,NA,NA,ENGINE SCRAP PARTS,NA,DD,"SCRAP ENGINE PARTS FROM LOT 38, CAE-833766, CAT-37821",WPG MRO
2020-08-19,NA,"NA,",ENGINE SCRAP PARTS,NA,DD,"SCRAP ENGINE PARTS FROM LOT 37, CAE-834995, CAT-24489",WPG MRO
2020-08-24,NA,23037403,PT INNER SHAFT,49574,DD,"DIMPLES ON SHAFT CANCELS OUT PART, UNREPIARABLE",WPG MRO
2020-08-24,NA,204-040-603-007,COUPLING,AC12-87079,DD,"SCAP FROM LOT 2, UNREPAIRABLE",WPG MRO
2020-08-31,NA,6887761,THERMOCOUPLE,FF42A8,DD,"QUARANTINE, SCRAPPED FROM ENGINE CAE-295138, CAC-15193,LOT31",WPG MRO
2020-09-01,110879,6853279,#4 WHEEL,HX54582,DD,"QUARANTINE, CONTACT FACE,ROOT AND LANDS DAMAGED",WPG MRO
2020-09-01,110888,6898784,2ND STG SPLINED ADAPTER,63259,DD,"QUARANTINE, PITTING AND WEAR ON OD",WPG MRO
2020-09-01,110932,6853279,#4 WHEEL,HX49614,DD,"QUARANTINE, CONTACT FACE,ROOT AND LANDS DAMAGED",WPG MRO
2020-09-01,110950,23001967,3RD STG WHEEL,HX74019,DD,"QUARANTINE, SEAL KNIVES MEASURE BELOW REQUIREMENTS",WPG MRO
2020-09-07,110390,6871259,TIE BOLT,KU61394,DD,CORROSION AND WEAR EVIDENT,WPG MRO
2020-09-07,110437,23052358,RACE,NSN,DD,RADIAL SCORING EVIDENT ON OUTSIDE DIAMETER,WPG MRO
2020-09-07,110489,23052358,RACE,NSN,DD,PITTING AND RADIAL WEAR,WPG MRO
2020-09-07,NA,6890501,#1 COMP WHEEL, C53862,DD,BALANCE RING AREA PARENT METAL UNDERCUT,WPG MRO
2020-09-07,NA,6890501,#1 COMP WHEEL,KR44476,DD,"CORROSION, PITTINGANSD EROTION",WPG MRO
2020-09-07,NA,23060422,2/3 STG WHEEL,C39027,DD,CORROSION PITTING TO LEAFING,WPG MRO
2020-09-08,110952,6886407,1ST STG TURBINE WHEEL,X113402,DD,"QUARANTINE, CRACKS IN AREAS, EXCEEDS SERVICABLE LIMITS",WPG MRO
2020-09-08,110955,6886407,1ST STG TURBINE WHEEL,X134598,DD,"QUARANTINE, CRACKING AND EXCEED OF LIMIT",WPG MRO
2020-09-08,110957,23068265,TIE BOLT,NM88635,DD,"QUARANTINE, UNSERVICABLE",WPG MRO
2020-09-08,111009,23052359,FRONT COMPRESSOR,L-14,DD,"QUARANTINE, THREADED BOLT DAMAGE",WPG MRO
2020-09-08,111011,23031922,SPUR GEAR,CG98654,DD,"QUARANTINE, WEAR IN SPLINES, UNSERVICABLE",WPG MRO
2020-09-08,111013,23031922,SPUR GEAR,TH83848,DD,"QUARANTINE, WEAR IN SPLINES, UNSERVICABLE",WPG MRO
2020-09-08,111042,23037413,PT OUTER SHAFT,KU90605,DD,"QUARANTINE, CORROSION CLUSTER ON TEETH, UNSERVICABLE",WPG MRO
2020-09-09,84981,6871502,BEARING,MP37019,DD,"QARANTINE, SCRAPPED FROM ENGINE",WPG MRO
2020-09-09,111084,23030999,OIL PUMP BODY,L-25,DD,"QARANTINE, PUMP POCKETS EPOLY APPLIED,SCORING/CORROSION",WPG MRO
2020-09-09,111086,6892071,OIL PUMP BODY,38477,DD,"QUARANTINE, POCKETS OVER SIZED, UNSERVICABLE",WPG MRO
2020-09-09,111090,6853544,OIL PUMP COVER,30804,DD,"QARANTINE, EPOLY APPLIED AND LIFTING",WPG MRO
2020-09-09,111091,6853544,OIL PUMP COVER,29626,DD,"QARANTINE, EPOLY/PRO SEAL LIFTING, UNSERVICABLE",WPG MRO
2020-09-09,111093,6896437,FUEL CNTROL,492-404,DD,"QUARANTINE, SPALLING ON GEAR TEETH",WPG MRO
2020-09-09,6896437,6896437,FUEL CNTROL,69148,DD,"QUARANTINE, SPALLING ON GEAR TEETH",WPG MRO
2020-09-09,NA,6871508,BEARING,NA,DD,"QARANTINE, SCRAPPED FROM ENGINE",WPG MRO
2020-09-09,NA,6875004,BEARING,NA,DD,"QARANTINE, SCRAPPED FROM ENGINE",WPG MRO
2020-09-09,NA,23034102R,PICOLO TUBE,BN55433,DD,"QARANTINE, SRAPPED FROM ENGINE",WPG MRO
2020-09-09,NA,31-032-28,TAPE,NA,DD,"QUARANTINE, SCRAP UNSERVISABLE",WPG MRO
2020-09-09,NA,31-033-1,TAPE,NA,DD,"QUARANTINE, SCRAP UNSERVISABLE",WPG MRO
2020-09-09,NA,31-033-3,TAPE,NA,DD,"QUARANTINE, SCRAP UNSERVISABLE",WPG MRO
2020-09-09,NA,AN960JD2616L,WASHER,NA,DD,"QUARANTINE, SCRAP UNSERVISABLE",WPG MRO
2020-09-09,NA,NAS617-12,PACKING,NA,DD,"QUARANTINE, SCRAP UNSERVISABLE",WPG MRO
2020-09-09,NA,NAS617-16,PACKING,NA,DD,"QUARANTINE, SCRAP UNSERVISABLE",WPG MRO
2020-09-17,63954,6895800,AIR TUBE,CAL7634,DD,"QUARANTINE, NCR, LEAKING BRAZE JOINT ON FLANGE",WPG MRO
2020-09-18,110621,6829394,Starter Gear,12127,ML,Scrap locally,WPG MRO
2020-09-18,110677,23034649,Air Tube,NSN,ML,3 cracks in dia.,WPG MRO
2020-09-18,111026,6841213,3rd Stage compressor wheel,WY18394,ML,SCRAP LOCALLY NCR# 8820,WPG MRO
